experiment,algorithm,objective,iteration,queries,samps_per_iter,objective_value,minimum_objective_value,iteration_of_minimum,random_seed,status,parameter_configuration,elapsed_seconds,error_message
samples_vs_minimum,burer_monteiro_gradient_descent,singular_value_sum,40,10240,256,0.8479214906692505,0.8479214906692505,40,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":256,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":15}}",5.986767125315964,
samples_vs_minimum,burer_monteiro_gradient_descent,singular_value_sum,10,10240,1024,70.6147232055664,70.6147232055664,10,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":1024,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":15}}",1.88521783426404,
samples_vs_minimum,adjoint_sensing_operator,ky_fan_regression,1250,10000,8,18.630859375,18.630859375,1250,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":8,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{}}",6.7631845427677035,
samples_vs_minimum,adjoint_sensing_operator,ky_fan_regression,157,10048,64,12.364269256591797,12.364269256591797,157,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":64,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{}}",0.4345610421150923,
samples_vs_minimum,adjoint_sensing_operator,ky_fan_regression,79,10112,128,12.291109085083008,12.291109085083008,79,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":128,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{}}",0.19192237500101328,
samples_vs_minimum,adjoint_sensing_operator,ky_fan_regression,40,10240,256,14.958087921142578,14.958087921142578,40,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":256,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{}}",0.10184049978852272,
samples_vs_minimum,adjoint_sensing_operator,ky_fan_regression,10,10240,1024,26.04732894897461,26.04732894897461,10,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":1024,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{}}",0.05922995787113905,
samples_vs_minimum,adjoint_sensing_operator,singular_value_sum,1250,10000,8,102.16381072998047,102.16381072998047,1250,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":8,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{}}",11.366782874800265,
samples_vs_minimum,adjoint_sensing_operator,singular_value_sum,157,10048,64,42.622257232666016,42.622257232666016,157,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":64,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{}}",0.9699673745781183,
samples_vs_minimum,adjoint_sensing_operator,singular_value_sum,79,10112,128,41.978675842285156,41.978675842285156,79,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":128,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{}}",0.43663395941257477,
samples_vs_minimum,adjoint_sensing_operator,singular_value_sum,40,10240,256,62.37214660644531,62.37214660644531,40,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":256,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{}}",0.22247762512415648,
samples_vs_minimum,adjoint_sensing_operator,singular_value_sum,10,10240,1024,199.24578857421875,199.24578857421875,10,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":1024,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{}}",0.0626765824854374,
samples_vs_minimum,pseudoinverse,ky_fan_regression,1250,10000,8,24.06128692626953,24.06128692626953,1250,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":8,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":10}}",67.30317329242826,
samples_vs_minimum,pseudoinverse,ky_fan_regression,157,10048,64,24.251876831054688,24.251876831054688,157,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":64,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":10}}",9.0658008325845,
samples_vs_minimum,pseudoinverse,ky_fan_regression,79,10112,128,23.974102020263672,23.974102020263672,79,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":128,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":10}}",4.755561792291701,
samples_vs_minimum,pseudoinverse,ky_fan_regression,40,10240,256,24.06103515625,24.06103515625,40,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":256,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":10}}",2.4656340423971415,
samples_vs_minimum,pseudoinverse,ky_fan_regression,10,10240,1024,26.16399383544922,26.16399383544922,10,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":1024,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":10}}",0.7832837915048003,
samples_vs_minimum,pseudoinverse,singular_value_sum,1250,10000,8,40.8241081237793,40.8241081237793,1250,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":8,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":10}}",89.70053233299404,
samples_vs_minimum,pseudoinverse,singular_value_sum,157,10048,64,34.35465621948242,34.35465621948242,157,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":64,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":10}}",9.963286833837628,
samples_vs_minimum,pseudoinverse,singular_value_sum,79,10112,128,33.212947845458984,33.212947845458984,79,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":128,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":10}}",5.287695875391364,
samples_vs_minimum,pseudoinverse,singular_value_sum,40,10240,256,48.644866943359375,48.644866943359375,40,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":256,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":10}}",3.3616708759218454,
samples_vs_minimum,pseudoinverse,singular_value_sum,10,10240,1024,73.02819061279297,73.02819061279297,10,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":1024,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":10}}",0.7310177916660905,
samples_vs_minimum,rangefinder,ky_fan_regression,,,,,,,2027,not_applicable,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":64,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{}}",,rangefinder does not use samps_per_iter
samples_vs_minimum,rangefinder,singular_value_sum,,,,,,,2027,not_applicable,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":64,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{}}",,rangefinder does not use samps_per_iter
samples_vs_minimum,spectral_iterative_hard_thresholding,ky_fan_regression,1250,10000,8,21.218952178955078,21.218952178955078,1249,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":8,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""iterations"":10000,""matrix_shape"":[30,30],""max_queries"":10000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":10}}",13.2209158744663,
